id,lane,kind,severity,step,expected,actual,compare,repro
L1-01,L1,bug,3,劇本1 推進世界,aos run 推 15 回合之後 agent 應該已經開始讀檔改檔，或至少告訴我它沒動,agent init 寫進 .aos/every/agent-<name>.json 的 argv 是裸的 "aos"；跑 aos run 的 shell 若沒把 aos 放進 PATH（剛編好用絕對路徑呼叫就是這情況），每回合 exec 失敗、out/*.json 記 exit 127 且 stderr 空白，run 仍逐行印「turn N: 1 insts (1 every)， 0 ms」跟成功一模一樣。實測 A 隊前 15 回合全部空轉，state 一直 idle、listen 空白,pi 不存在這個問題：pi 就是使用者當下打的那個執行檔，找不到 shell 直接報 command not found,repro/L1-01.sh
L1-02,L1,bug,3,劇本1 交代任務,說完話之後 aos state 或 aos listen 至少要讓我看到自己說了什麼、還有幾封沒讀,連說三句之後 state 完全沒變（idle／等待訊息／turn 0／updated_at 都不動）；listen --once 印空；log.md 0 bytes；history.json 是 {"messages": []}。未讀只躺在 .aos/agents/<name>/say/ 這個沒有任何 aos 指令會列出來的資料夾,pi 是同步的：打完 enter 就看到自己的話和它的回覆，沒有「未讀」這個狀態,repro/L1-02.sh
L1-03,L1,awkward,3,劇本2 狀態可見性,「做完了」和「卡住空轉」要能從 aos state 分辨,五個 status 值（idle／thinking／tool／running／done）確實都會出現（C 隊 12 次取樣全部採到），但採到哪一個看運氣：A 隊在 lmstudio 的 60 回合裡取樣 11 次全部落在 idle，因為多數回合是 3 ms 的空轉。真正分不出來的是這四種：「什麼都沒發生」「有未讀等著」「做完了」「放棄後空轉」——aos state 的輸出一字不差，只差一個 turn 數字。A 隊推滿 45 回合、0 個檔被改，全程就是這個 idle,pi 前台把思考、工具呼叫、檔案 diff 逐條印出來，指令結束就是做完了，0 個額外指令,repro/L1-03.sh
L1-04,L1,spec-gap,3,劇本1 開機,aos agent init 之後 agent 就該開始工作,agent 沒有自己的 CPU：不另開一個視窗長跑 aos run，說再多話都不會被處理。run.cpp 沒有任何 daemon／背景模式（只有 --step N 與 --interval MS），--step 0 是無限迴圈、佔住整個終端機。使用者等於要永久犧牲一個視窗,pi 一個指令跑完就結束，不需要常駐行程，也不需要第二個視窗,-
L1-05,L1,awkward,3,劇本1 開機,init 成功後至少告訴我 agent 叫什麼、建在哪、接哪顆 CPU、下一步做什麼,aos agent init 成功時一個字都不印、exit 0。不說 agent 名（預設取自資料夾名）、不說世界路徑、不說引擎與模型，也不提「要另開視窗跑 aos run」。使用者拿到一個空白提示字元就沒了,pi 開場就印出模型名、工作目錄與可用工具,-
L1-06,L1,bug,3,劇本1 開機,在我站的資料夾就地建一個世界,find_folder 往上找最近的 .aos/：在既有世界的子資料夾裡跑 agent init，agent 被靜默建到祖先世界，連名字都取自祖先資料夾（實測 outer-world/src/my-feature 下 init，agent 跑到 outer-world/.aos/agents/outer-world）。站的資料夾連 .aos 都沒有，零警告。要就地建必須自己先 mkdir .aos,pi 就在你 cd 到的那個資料夾工作，不會自己往上跳,repro/L1-06.sh
L1-07,L1,bug,2,劇本1 開機,agent init --model M 指定的模型要被記住,lmstudio 引擎的 engine.json 只寫 {"engine":"lmstudio"}，--model 被靜默丟掉、exit 仍是 0；pi 引擎則完整寫下 provider／model／session_id。於是 lmstudio agent 實際用哪顆腦，取決於後來哪個 shell 跑 aos run 的 AOS_LLM_MODEL，世界檔案裡查不到，aos state 也不印,pi 的模型寫在 session 裡也印在畫面上，隨時 pi --help／看畫面就知道,repro/L1-07.sh
L1-08,L1,bug,2,劇本1 交代任務,aos say --help 印出 say 的用法,say 把所有參數都當訊息內容：aos say --help 什麼都不印、exit=0，並且把字串 "--help" 投進 agent 收件匣（say/ 檔案數 0→1）。aos say <folder> <text> 也一樣會把路徑當成話的一部分,pi --help 就是 help，沒有這種歧義,repro/L1-08.sh
L1-09,L1,bug,2,劇本1 推進世界,aos run 對打錯的資料夾名要報錯,aos run <打錯的路徑> --step 1 靜默 mkdir 出一個全新的 .aos/inbox、.aos/every、.aos/agents、印 turn 1: idle、exit=0。使用者以為在推自己的專案，其實在推一個剛剛被憑空造出來的空世界,pi 對不存在的路徑直接報錯結束,repro/L1-09.sh
L1-10,L1,awkward,2,劇本2 狀態可見性,一個指令就要回答「它現在在幹嘛」,aos state 只印 agent 的 status.json 四個欄位：沒有目前任務、沒有已跑／剩餘回合、沒有本回合耗時，也不印世界層的 phase／running[]。C 隊實測「完整回答現在在幹嘛」最少要 aos state ＋ cat .aos/state.json ＋ tail log.md 三個指令，整場為了觀察狀態打了 36 個診斷指令；而且兩份快照會互相落後（同一時間 aos state 說 thinking、state.json.agents 說 tool）。run.log 的「turn 3: 1 insts (1 every) 25443 ms」只在事後才印,pi 前台就是答案，0 個額外指令（但實測 62 秒裡前 46 秒也是安靜的，只是不必另外問）,-
L1-11,L1,awkward,2,劇本3 換視窗回來,想看另一個資料夾的 agent，直接給它路徑,頂層 aos say／listen／state／talk 都不吃資料夾參數（aos state <folder> → usage、exit 2；aos listen --once <folder> → usage、exit 2），只認 cwd 往上找到的世界。要指定就得退回舊形式 aos agent listen <folder> <name>，而 name 還要自己先去 ls .aos/agents/ 查,pi 也是 cwd 綁定，但它是同步的，cd 過去打一次就結束；aos 這邊 cd 過去還要再開一個 run 視窗,-
L1-12,L1,spec-gap,2,劇本1 改函式,一個 coding agent 開箱就要能讀檔改檔跑測試,agent init 預設只裝 cat／ls／sh 三個工具：沒有 write／edit、沒有 make、沒有 git。要改檔只能全部擠進 sh -lc 逃生口，實測 A／D 兩隊的模型都在 sh 的 args 型別（string vs list）上先失敗一兩回合才學會,pi 內建 read／bash／edit／write，開箱即用,-
L1-13,L1,awkward,2,劇本3 回來看昨天的對話,listen 要能看對話，不要看協定,listen --once 從頭印整份 log.md（A 隊 64 行），把工具往返的原始 JSON（含跳脫過的 stdout 全文）原封不動夾在對話中間；不帶 --once 則是先印全部再永遠 tail（30 秒沒自己結束，exit 124）。沒有 --tail N、沒有「只印新的」、沒有分頁,pi 的對話輸出是給人看的，工具結果摺疊成一行摘要,-
L1-14,L1,bug,1,任何時候打 --help,每個子命令的 --help 都印用法並以 0 結束,八個子命令三種行為：run／llm／tool／listen／state／talk 印用法但 exit 2（問 help 被當成用錯）；deliver 印「無法讀取 --help」exit 1（把 --help 當 inst.json 檔名）；say 不印用法、exit 0、把 --help 當一句話送出去。state --help／talk --help 的 usage 後面是空的一個選項都沒列（aos agent talk 的 --interface pi 完全沒提）,pi --help 一種行為、exit 0,repro/L1-14.sh
L1-15,L1,bug,1,錯誤路徑,路徑不存在就說路徑不存在,aos run /nonexistent/zzz --step 1 報「無法建立 /nonexistent/zzz/.aos/inbox: Permission denied」——真正原因是 /nonexistent 不存在，訊息指向權限，使用者會去 chmod,pi 直接說 no such file or directory,repro/L1-15.sh
